,Gusto_por_Matematicas,Gusto_por_Lectura,Interes_en_IA,Habilidad_Habla_Publica,Pensamiento_Analitico,Interes_en_Asuntos_Globales,Habilidad_Resolucion_Problemas,Promedio_Prepa,Puntos_Examen_Admision,Velocidad_Lectura,Carrera
0,3,6,2,6,8,6,3,3,3,7,Relaciones Internacionales
1,3,9,3,10,5,7,10,4,1,3,Relaciones Internacionales
2,7,7,9,2,8,1,8,1,8,8,Ingeniería en Inteligencia Artificial
3,2,9,6,6,9,5,6,7,2,8,Derecho
4,4,10,1,4,1,10,6,8,2,1,Relaciones Internacionales
5,10,2,10,7,3,1,1,4,1,6,Ingeniería en Inteligencia Artificial
6,7,1,4,5,8,9,1,10,3,5,Matematicas
7,2,4,4,8,5,1,10,8,8,7,Derecho
8,1,2,4,2,4,6,4,10,6,2,Ciencia de Datos
9,2,4,2,7,8,7,8,5,10,2,Ciencia de Datos
10,10,5,8,1,4,7,2,9,4,5,Ingeniería en Inteligencia Artificial
11,1,8,7,4,8,9,9,1,4,1,Relaciones Internacionales
12,1,7,4,2,1,9,3,10,7,8,Relaciones Internacionales
13,10,2,2,4,8,5,6,8,6,7,Actuaría
14,4,5,8,1,7,5,1,1,5,9,Relaciones Internacionales
15,5,4,3,9,9,1,2,1,9,8,Ciencia de Datos
16,1,4,7,6,7,2,1,3,10,7,Relaciones Internacionales
17,1,8,6,2,9,10,8,5,7,9,Relaciones Internacionales
18,5,7,10,5,1,1,8,10,5,3,Derecho
19,2,9,9,4,6,8,6,2,9,7,Relaciones Internacionales
20,8,7,10,3,4,6,9,10,1,5,Ingeniería en Inteligencia Artificial
21,4,5,5,3,3,5,2,6,7,1,Relaciones Internacionales
22,3,5,8,1,5,8,6,9,5,6,Derecho
23,5,8,9,3,4,3,7,6,10,9,Derecho
24,8,1,6,1,4,4,8,7,1,7,Ingeniería en Inteligencia Artificial
25,3,1,10,3,10,6,1,9,1,5,Relaciones Internacionales
26,5,10,3,8,8,6,7,5,6,3,Relaciones Internacionales
27,9,9,5,10,2,5,5,9,9,5,Matematicas
28,1,9,4,1,9,3,2,5,1,1,Derecho
29,8,5,4,4,1,7,5,2,9,1,Matematicas
30,10,9,2,10,2,10,3,4,2,6,Matematicas
31,4,7,8,8,5,8,3,3,7,10,Relaciones Internacionales
32,5,2,9,1,8,10,2,8,5,1,Relaciones Internacionales
33,7,7,6,6,3,5,1,1,8,10,Ingeniería en Inteligencia Artificial
34,2,9,8,5,5,10,10,7,3,9,Relaciones Internacionales
35,6,8,8,7,9,7,2,3,6,7,Ingeniería en Inteligencia Artificial
36,7,10,8,1,4,6,2,8,5,6,Ingeniería en Inteligencia Artificial
37,3,2,6,8,5,8,7,4,7,6,Derecho
38,2,8,1,9,10,4,7,7,4,4,Derecho
39,9,2,1,9,7,10,4,5,1,9,Matematicas
40,4,8,9,2,3,2,10,3,5,2,Derecho
41,6,10,2,1,8,4,7,7,10,9,Actuaría
42,1,9,1,2,8,10,8,10,10,4,Relaciones Internacionales
43,3,8,5,8,8,4,8,10,1,8,Derecho
44,7,2,6,6,5,9,7,5,3,9,Ingeniería en Inteligencia Artificial
45,3,4,5,4,8,4,2,8,8,6,Relaciones Internacionales
46,5,2,6,1,9,6,10,1,7,10,Ciencia de Datos
47,5,9,1,5,5,7,4,4,1,2,Relaciones Internacionales
48,7,8,8,9,1,8,8,4,4,5,Ingeniería en Inteligencia Artificial
49,4,6,2,5,8,7,3,2,7,10,Relaciones Internacionales
50,1,2,3,10,7,6,4,3,5,4,Ciencia de Datos
51,7,3,3,4,4,8,9,2,2,5,Actuaría
52,5,6,8,6,5,2,1,4,6,5,Derecho
53,8,3,8,2,2,2,4,1,4,5,Ingeniería en Inteligencia Artificial
54,7,3,4,9,2,7,4,5,9,1,Matematicas
55,8,10,7,1,8,7,10,8,10,1,Ingeniería en Inteligencia Artificial
56,2,4,2,10,3,5,9,5,1,7,Derecho
57,6,3,9,2,8,10,7,5,9,9,Ingeniería en Inteligencia Artificial
58,8,7,5,6,9,1,4,8,10,5,Matematicas
59,10,8,2,9,10,10,8,7,8,9,Actuaría
60,3,10,7,9,5,4,6,4,3,1,Derecho
61,5,2,6,5,5,9,9,4,5,2,Derecho
62,9,4,10,7,5,6,5,10,1,8,Ingeniería en Inteligencia Artificial
63,2,9,1,9,8,4,9,7,9,7,Derecho
64,3,4,4,8,8,4,6,8,4,3,Ciencia de Datos
65,2,8,2,10,10,9,2,5,3,7,Relaciones Internacionales
66,2,10,4,3,10,8,8,10,4,5,Relaciones Internacionales
67,4,10,8,1,5,1,3,2,7,3,Derecho
68,6,4,8,1,2,2,8,8,3,5,Ingeniería en Inteligencia Artificial
69,10,4,8,10,6,8,9,5,9,8,Ingeniería en Inteligencia Artificial
70,1,6,6,10,6,3,2,1,6,6,Derecho
71,9,7,4,6,9,4,8,2,5,9,Actuaría
72,2,1,7,4,10,6,2,3,5,2,Ciencia de Datos
73,7,9,4,6,6,6,9,4,1,4,Actuaría
74,4,8,6,6,2,1,2,10,1,4,Derecho
75,4,8,2,3,1,3,10,1,4,10,Derecho
76,6,5,6,3,7,6,3,7,9,2,Ingeniería en Inteligencia Artificial
77,10,5,10,8,1,9,4,9,6,6,Ingeniería en Inteligencia Artificial
78,8,6,2,4,10,10,5,3,5,6,Matematicas
79,10,1,4,2,5,8,3,5,2,3,Matematicas
80,3,9,10,4,7,10,1,2,5,5,Relaciones Internacionales
81,4,10,2,10,5,8,8,10,3,7,Relaciones Internacionales
82,4,3,6,4,6,5,6,7,2,10,Ciencia de Datos
83,4,6,7,7,4,6,10,1,5,1,Relaciones Internacionales
84,9,2,2,3,5,2,9,4,2,10,Actuaría
85,7,6,6,4,7,9,6,6,9,6,Ingeniería en Inteligencia Artificial
86,10,10,1,2,3,7,1,3,2,4,Matematicas
87,8,3,8,10,6,9,6,10,2,2,Ingeniería en Inteligencia Artificial
88,7,5,1,9,3,5,6,7,8,8,Actuaría
89,4,4,4,1,5,3,2,8,3,7,Relaciones Internacionales
90,10,1,1,3,4,8,4,10,9,6,Matematicas
91,7,4,7,4,3,2,9,6,10,7,Ingeniería en Inteligencia Artificial
92,7,8,3,8,5,7,1,8,9,3,Matematicas
93,7,8,8,10,9,3,9,6,4,9,Ingeniería en Inteligencia Artificial
94,2,3,6,3,1,7,1,5,4,2,Relaciones Internacionales
95,4,6,2,8,7,6,1,5,5,3,Relaciones Internacionales
96,5,2,1,10,9,7,10,8,4,5,Ciencia de Datos
97,4,8,1,8,9,1,3,9,4,8,Derecho
98,2,6,3,2,6,4,6,1,7,10,Derecho
99,1,10,7,5,7,3,2,3,2,6,Derecho
